profit = 13755800

x [*,*]
:       1       2            3            4       5      6          7       8 :=
SH231   0     0            0            0         0     0          0        0
SH232   0     0            0          418.972     0     0          0        0
SH233   0     0            0          448.571     0     0          0        0
SH234   0     0          405.143        0         0     0          0        0
SH235   0   470.857        0            0         0     0          0        0
SH236   0   496.857        0            0         0     0          0        0
SH237   0     0            0            0         0     0          0        0
SH238   0     0            0            0         0   396.465      0        0
SH239   0     0            0          109.914     0     0          0        0
SH240   0     0            0          107.109     0     0          0        0
SH241   0   418.571        0            0         0     0          0        0
SH242   0     0            0            0         0     0          0        0
SH243   0     0            0            0         0     0          0        0
SH244   0   241.934        0            0         0     0          0        0
SH245   0     0            0            0         0     0          0        0
SH246   0     0            0            0         0     0          0        0
SH247   0     0            0          422         0     0          0        0
SH248   0     0            0            0         0     0         78.5367   0
SH249   0   405.429        0            0         0     0          0        0
SH250   0     0            0            0         0     0          0        0
SH251   0     0            0            0         0     0          0        0
SH252   0     0            0            0         0     0          0        0
SH253   0     0            0            0         0     0        381.143    0
SH254   0   479.429        0            0         0     0          0        0
SH255   0     0          202.693        0         0     0          0        0
SH256   0   434.286        0            0         0     0          0        0
SH257   0     0            0            0         0     0          0        0
SH258   0     0            0            0         0     0          0        0
SH259   0     0            0            0         0     0          0        0
SH260   0     1.93737      0            0         0     0          0        0
SH261   0     0            0          409.143     0     0          0        0
SH262   0     0            0            0         0     0        411.143    0
SH263   0     0            0            0         0     0          0        0
SH264   0     0            0            0         0     0          0        0
SH265   0     0          413.143        0         0     0          0        0
SH266   0     0            0            0         0     0          0        0
SH267   0     0            0            0         0     0          0        0
SH268   0     0            0            0         0     0          0        0
SH269   0   429.429        0            0         0     0          0        0
SH270   0     0           76.1212       0         0     0          0        0
SH271   0     0            0            0         0     0          0        0
SH272   0     0            0            0         0     0          0        0
SH273   0     0          267.014        0         0     0          0        0
SH274   0     0            0          119.008     0     0          0        0
SH275   0     0            0            0         0     0          0        0
SH276   0     0          279.884        0         0     0          0        0
SH277   0     0          422.857        0         0     0          0        0
SH278   0     0            0            0         0     0          0        0
SH279   0     0            0           18.8891    0     0          0        0
SH280   0     0            0            0         0     0          0        0
SH281   0     0            0          307.907     0     0          0        0
SH282   0     0            0            0         0     0        415.143    0
SH283   0     0            0            0         0     0          0        0
SH284   0     0          460.889        0         0     0          0        0
SH285   0     0            0            0         0     0          0        0
SH286   0     0          436.548        0         0     0          0        0
SH287   0     0          410.286        0         0     0          0        0
SH288   0     0            0          162.086     0     0          0        0
SH289   0   429.829        0            0         0     0          0        0
SH290   0     0            0          129.57      0     0          0        0
SH291   0     0            0            0         0     0          0        0
SH292   0   136.365        0            0         0     0          0        0
SH293   0     0            0            0         0     0          0        0
SH294   0     0            0            0         0     0          0        0
SH295   0     0          403.429        0         0     0          0        0
SH296   0     0            0            0         0     0          0        0
SH297   0     0            0            0         0     0          0        0
SH298   0     0            0            0         0     0        110.829    0
SH299   0     0            0          408.014     0     0          0        0
SH300   0   427.429        0            0         0     0          0        0
SH301   0     0            0            0         0     0          0        0
SH302   0     0            0            0         0     0          0        0
SH303   0     0            0            0         0     0          0        0
SH304   0     0            0            0         0     0          0        0
SH305   0     0            0            0         0     0          0        0
SH306   0     0            0            0         0     0          0        0
SH307   0     0           81.2943       0         0     0          0        0
SH308   0     0          266.427        0         0     0          0        0
SH309   0     0            0            0         0     0          0        0
SH310   0     0            0            0         0     0          0        0
SH311   0     0            0            0         0     0          0        0
SH312   0     0            0          476.857     0     0          0        0
SH313   0     0          483.429        0         0     0          0        0
SH314   0     0          391.143        0         0     0          0        0
SH315   0     0            0            0         0     0          0        0
SH316   0     0            0          168.419     0     0          0        0
SH317   0     0            0            0         0     0        316.143    0
SH318   0     0            0            0         0     0          0        0
SH319   0     0            0            0         0     0          0        0
SH320   0     0            0          302.181     0   160.105      0        0
SH321   0     0            0            0         0     0          0        0
SH322   0     0            0          290.699     0     0          0        0
SH323   0     0            0            0         0     0          0        0
SH324   0     0            0            0         0     0          0        0
SH325   0     0            0          475.143     0     0          0        0
SH326   0     0            0            0         0     0          0        0
SH327   0     0            0            0         0     0          0        0
SH328   0   194.248        0            0         0     0          0        0
SH329   0   400            0            0         0     0          0        0
SH330   0     0            0            0         0     0          0        0
SH331   0     0            0            0         0     0          0        0
SH332   0     0            0            0         0     0          0        0
SH333   0     0            0            0         0     0          0        0
SH334   0   386.571        0            0         0     0          0        0
SH335   0     0            0            0         0     0          0        0
SH336   0     0            0            0         0     0          0        0
SH337   0     0            0            0         0     0          0        0
SH338   0     0          109.157        0         0     0          0        0
SH339   0     0            0            0         0     0          0        0
SH340   0     0          439.435        0         0     0          0        0
SH341   0   429.429        0            0         0     0          0        0
SH342   0     0            0          299.33      0     0          0        0
SH343   0     0            0           30.1097    0     0          0        0
SH344   0     0            0            0         0     0          0        0
SH345   0   317.786        0            0         0     0          0        0
SH346   0     0            0            0         0     0          0        0
SH347   0     0            0            0         0     0        176.703    0
SH348   0   488.857        0            0         0     0          0        0
SH349   0     0           40.6795       0         0     0          0        0
SH350   0     0            0            0         0     0          0        0
SH351   0     0            0            0         0     0          0        0
SH352   0     0            0            0         0     0        396.571    0
SH353   0     0            0            0         0     0          0        0
SH354   0     0            0            0         0     0          0        0
SH355   0     0            0            0         0     0          0        0
SH356   0     0            0          186.22      0     0          0        0
SH357   0     0            0            0         0     0          0        0
SH358   0     0            0            0         0     0          0        0
SH359   0     0            0           20.7196    0     0          0        0
SH360   0     0            0            0         0     0          0        0
SH361   0     0            0          417.429     0     0          0        0
SH362   0     0            0            0         0     0        419.429    0
SH363   0     0            0            0         0     0          0        0
SH364   0     0            0            0         0     0          0        0
SH365   0     0          259.804        0         0     0          0        0
SH366   0   197.702        0            0         0     0          0        0
SH367   0     0            0          452.286     0     0          0        0
SH368   0     0            0            0         0     0          0        0
SH369   0   198.81         0          179.19      0     0          0        0
SH370   0     0            0            0         0     0          0        0
SH371   0     0            0            0         0     0          0        0
SH372   0     0            0            0         0   273.751      0        0
SH373   0     0            0          416.571     0     0          0        0
SH374   0     0            0            0         0     0          0        0
SH375   0     0            0            0         0     0          0        0
SH376   0     0            0           24.0941    0     0          0        0
SH377   0     0            0          148.671     0     0          0        0
SH378   0   422.571        0            0         0     0          0        0
SH379   0     0            0            0         0     0        254.092    0
SH380   0     0            0            0         0     0          0        0
SH381   0     0            0           17.8297    0     0          0        0
SH382   0     0            0            0         0     0          0        0
SH383   0     0            0            0         0     0          0        0
SH384   0     0            0          504.571     0     0          0        0
SH385   0     0            0            0         0     0          0        0
SH386   0     0            0            0         0     0          0        0
SH387   0     0            0            0         0     0          0        0
SH388   0     0.215179     0            0         0     0          0        0
SH389   0     0            0            0         0     0          0        0
SH390   0     0            0            0         0     0          0        0
SH391   0   127.685        0            0         0     0          0        0
SH392   0     0            0            0         0     0          0        0
SH393   0     0            0            0         0     0          0        0
SH394   0     0            0            0         0     0          0        0
SH395   0     0          448.376        0         0     0          0        0
SH396   0     0            0            0         0     0          0        0
SH397   0     0            0            0         0     0          0        0
SH398   0     0            0            0         0     0          0        0
SH399   0     0            0            0         0     0        442.857    0
SH400   0     0            0            0         0     0          0        0
SH401   0     0            0            0         0     0          0        0
SH402   0     0           43.8644       0         0     0          0        0
SH403   0     0            0            0         0     0          0        0
SH404   0     0            0            0         0     0          0        0
SH405   0     0            0            0         0     0          0        0
SH406   0     0            0            0         0     0          0        0
SH407   0     0            0            0         0     0        437.429    0
SH408   0     0            0            0         0     0          0        0
SH409   0     0            0            0         0     0          0        0
SH410   0     0          262.168        0         0     0          0        0
SH411   0     0            0            0         0     0        399.904    0
SH412   0     0            0            0         0    87.6778     0        0
SH413   0     0            0            0         0     0          0        0
SH414   0     0            0            0         0     0          0        0
SH415   0     0          438.286        0         0     0          0        0
SH416   0     0            0            0         0     0          0        0
SH417   0     0            0          482         0     0          0        0
SH418   0     0            0            0         0   343.171      0        0
SH419   0     0          289.92         0         0     0          0        0
SH420   0     0            0           89.7077    0     0          0        0
SH421   0     0            0          416.571     0     0          0        0
SH422   0     0            0            0         0     0          0        0
SH423   0     0            0          419.017     0     0          0        0
SH424   0     0            0            0         0     0          0        0
SH425   0     0            0          458.571     0     0          0        0
SH426   0     0            0            0         0     0          0        0
SH427   0     0            0          477.429     0     0          0        0
SH428   0     0            0            0         0     0          0        0
SH429   0     0            0            0         0    27.3735     0        0
SH430   0     0            0            0         0     0        430        0
SH431   0     0            0            0         0     0          0        0
SH432   0     0            0            0         0     0          0        0
SH433   0     0            0            0         0     0          0        0
SH434   0     0            0            0         0     0          0        0
SH435   0     0          245.975        0         0     0          0        0
SH436   0     0            0            0         0     0          0        0
SH437   0     0            0            0         0     0          0        0
SH438   0     0            0           96.8       0     0          0        0
SH439   0     0            0            0         0     0          0        0
SH440   0     0            0            0         0     0          0        0
SH441   0     0            0            0         0     0          0        0
SH442   0     0            0            0         0     0          0        0
SH443   0     0            0            0         0     0          0        0
SH444   0     0            0          175.467     0     0          0        0
SH445   0   462.857        0            0         0     0          0        0
SH446   0     0            0            0         0     0          0        0
SH447   0     0            0            0         0   458.857      0        0
SH448   0     0            0            0         0     0          0        0
SH449   0     0            0          209.982     0     0          0        0
SH450   0     0            0            0         0     0          0        0
SH451   0     0            0          455.429     0     0          0        0
SH452   0     0            0            0         0     0          0        0
SH453   0     0          470.857        0         0     0          0        0
SH454   0     0            0            0         0     0          0        0
SH455   0     0            0.515306     0         0     0          0        0
SH456   0   430            0            0         0     0          0        0
SH457   0     0            0          252.964     0     0          0        0
SH458   0   218.811        0            0         0     0          0        0
SH459   0     0            0          265.488     0     0          0        0
SH460   0     0            0            0         0     0          0        0
SH461   0     0            0            0         0     0          0        0
